day,weight,sp
8-11-20,87.6,,
8-12-20,88.2,,
8-13-20,88.4,,
8-14-20,88.3,,
8-15-20,87.8,,
8-16-20,88.5,,
8-17-20,88.7,,
8-18-20,89.2,,
8-19-20,88.9,,
8-20-20,88.8,,
8-21-20,88.7,,
8-22-20,88.4,,
8-23-20,,,
8-24-20,89.7,,
8-25-20,89.1,,
8-26-20,90,,
8-27-20,89.7,,
8-28-20,89.6,,
8-29-20,,,
8-30-20,,,
8-31-20,88.3,,
9-1-20,88.9,,
9-2-20,89.2,,
9-3-20,,,
9-4-20,87.5,,
9-5-20,,,
9-6-20,,,
9-7-20,86.6,,
9-8-20,,,
9-9-20,,,
9-10-20,,,
9-11-20,,,
9-12-20,,,
9-13-20,,,
9-14-20,88.2,,
9-15-20,89,,
9-16-20,89.1,,
9-17-20,88.8,,
9-18-20,89.1,,
9-19-20,,,
9-20-20,,,
9-21-20,89,,
9-22-20,88.6,,
9-23-20,89.1,,
9-24-20,,,
9-25-20,89,,
9-26-20,89,,
9-27-20,88.7,,
9-28-20,,,
9-29-20,88.6,,
9-30-20,,,
10-1-20,88.1,,
10-2-20,,,
10-3-20,87.6,,
10-4-20,,,
10-5-20,87.2,,
10-6-20,87.2,,
10-7-20,87.1,,
10-8-20,,,
10-9-20,86.8,,
10-10-20,85.8,,
10-11-20,86.1,,
10-11-20,86.9,,
10-12-20,,,
10-13-20,87.6,,
10-14-20,87.8,,
10-15-20,87.2,,
10-16-20,87.5,,
10-17-20,,,
10-18-20,86.9,,
10-19-20,87.2,,
10-20-20,87.1,,
10-21-20,86.7,,
10-22-20,86.4,,
10-23-20,86.7,,
10-24-20,,,
10-25-20,86.8,,
10-26-20,87.6,,
10-27-20,87.8,,
10-28-20,,,
10-29-20,87.6,,
10-30-20,86.9,,
10-31-20,87.9,,
11-1-20,,,
11-2-20,87.5,,
11-3-20,88.2,,
11-4-20,,,
11-5-20,,,
11-6-20,,,
11-7-20,,,
11-8-20,,,
11-9-20,,,
11-10-20,88.6,,
11-11-20,88.3,,
11-12-20,88.5,,
11-13-20,88.7,,
11-14-20,88.4,,
11-15-20,88.9,,
11-16-20,,,
11-17-20,88.3,,
11-18-20,88.7,,
11-19-20,88.6,,
11-20-20,,,
11-21-20,,,
11-22-20,,,
11-23-20,,,
11-24-20,,,
11-25-20,,,
11-26-20,,,
11-27-20,,,
11-28-20,,,
11-29-20,,,
11-30-20,88.9,,
12-1-20,88.8,,
12-2-20,89.3,,
12-3-20,,,
12-4-20,89.2,,
12-5-20,89.1,,
12-6-20,,,
12-7-20,,,
12-8-20,,,
12-9-20,,,
12-10-20,,,
12-11-20,,,
12-12-20,,,
12-13-20,,,
12-14-20,,,
12-15-20,,,
12-16-20,89.1,,
12-17-20,,,
12-18-20,,,
12-19-20,,,
12-20-20,,,
12-21-20,90.1,,
12-22-20,89,,
12-23-20,88.7,,
12-24-20,,,
12-25-20,,,
12-26-20,,,
12-27-20,,,
12-28-20,,,
12-29-20,90.1,,
12-30-20,90.6,,
12-31-20,,,
1-1-21,,,
1-2-21,,,
1-3-21,,,
1-4-21,91.7,,
1-5-21,90.7,,
1-6-21,90.5,,
1-7-21,90,,
1-8-21,89.3,,
1-9-21,90,,
1-10-21,90.8,,
1-11-21,91.4,,
1-12-21,90.6,,
1-13-21,89.5,,
1-14-21,90,,
1-15-21,90.4,,
1-16-21,90.1,,
1-17-21,89.9,,
1-18-21,90.4,,
1-19-21,89.6,,
1-20-21,89.1,,
1-21-21,86.9,,
1-22-21,88.8,,
1-23-21,,,
1-24-21,,,
1-25-21,90.5,,
1-26-21,89.3,,
1-27-21,88.9,,
1-28-21,89,,
1-29-21,88.5,,
1-30-21,88.2,,
1-31-21,,,
2-1-21,89.5,,
2-2-21,88.4,,
2-3-21,88.5,,
2-4-21,88,,
2-5-21,88.3,,
2-6-21,88.5,,
2-7-21,88.2,,
2-8-21,88.6,,
2-9-21,87.5,,
2-10-21,88.2,,
2-11-21,88.3,,
2-12-21,87.8,,
2-13-21,87.6,,
2-14-21,,,
2-15-21,87,,
2-16-21,88.7,,
2-17-21,88,,
2-18-21,87.8,,
2-19-21,88.2,,
2-20-21,88,,
2-21-21,89.4,,
2-22-21,88.8,,
2-23-21,88,,
2-24-21,88.4,,
2-25-21,88,,
2-26-21,89.5,,
2-27-21,88.3,,
2-28-21,88.4,,
3-1-21,88.3,,
3-2-21,88.3,,
3-3-21,88,,
3-4-21,87.7,,
3-5-21,88.7,,
3-6-21,88,,
3-7-21,88.5,,
3-8-21,87.5,,
3-9-21,,,
3-10-21,87.3,,
3-11-21,86.4,,
3-12-21,87,,
3-13-21,87.4,,
3-14-21,87.7,,
3-15-21,87.4,,
3-16-21,86.3,,
3-17-21,86.2,,
3-18-21,85.6,,
3-19-21,85.5,,
3-20-21,86.5,,
3-21-21,87.5,,
3-22-21,86.3,,
3-23-21,85.7,,
3-24-21,86.3,,
3-25-21,86.4,,
3-26-21,86.4,,
3-27-21,86.5,,
3-28-21,87,,
3-29-21,,,
3-30-21,,,
3-31-21,,,
4-1-21,,,
4-2-21,87,,
4-3-21,86.9,,
4-4-21,87.4,,
4-5-21,87.1,30,
4-6-21,86.6,,
4-7-21,86.4,24,
4-8-21,87,,
4-9-21,87.3,26,
4-10-21,87.2,,
4-11-21,,,
4-12-21,87.2,24,
4-13-21,86.7,,
4-14-21,85.8,,
4-15-21,86.9,,
4-16-21,87.4,24,
4-17-21,,,
4-18-21,,,
4-19-21,88.1,,
4-20-21,87.2,,
4-21-21,87.1,26,
4-22-21,86.7,,
4-23-21,87.7,26,
4-24-21,87,,
4-25-21,87.6,,
4-26-21,86.8,,
4-27-21,86,,
4-28-21,86.2,28,
4-29-21,87.1,,
4-30-21,86.6,28,
5-1-21,87.8,,
5-2-21,87.4,,
5-3-21,87.4,24,
5-4-21,86.9,,
5-5-21,86,22,"K,"
5-6-21,85.4,,
5-7-21,85.3,30,
5-8-21,84.8,,
5-9-21,,,
5-10-21,85.5,34,
5-11-21,86.1,,
5-12-21,84.9,32,
5-13-21,86.3,,
5-14-21,86.2,36,
5-15-21,85.4,,
5-16-21,87.1,,
5-17-21,86.3,39,
5-18-21,85.4,,
5-19-21,86.3,38,
5-20-21,86,,
5-21-21,86.6,30,
5-22-21,86.5,,
5-23-21,86,,
5-24-21,86.4,,
5-25-21,86.9,,
5-26-21,86.8,,
5-27-21,87,,
5-28-21,87.4,,
5-29-21,87.5,,
5-30-21,,,
5-31-21,86.4,44,
6-1-21,85.8,,
6-2-21,86.6,30,
6-3-21,86.6,,
6-4-21,87.5,36,
6-5-21,87.6,,
6-6-21,88.2,,
6-7-21,88.4,,
6-8-21,87.8,,
6-9-21,88.1,,
6-10-21,87.4,,
6-11-21,88.8,,
6-12-21,88.3,,
6-13-21,88,,
6-14-21,87.9,,
6-15-21,87.6,,
6-16-21,86.8,,
6-17-21,86.7,,
6-18-21,87.4,,
6-19-21,86.7,,
6-20-21,86.1,,
6-21-21,87.5,,
6-22-21,86.8,,
6-23-21,86.8,,
6-24-21,86.7,,
6-25-21,85.8,,
6-26-21,86.6,,
6-27-21,86.7,,
6-28-21,87.5,34,
6-29-21,87.3,,
6-30-21,87.4,32,
7-1-21,86.4,,
7-2-21,86.6,40,
7-3-21,86.9,,
7-4-21,87.9,42,
7-5-21,87.5,,
7-6-21,86.1,,
7-7-21,87.1,32,
7-8-21,86.8,,
7-9-21,87,,
7-10-21,87.9,,
7-11-21,87.6,,
7-12-21,87,,
7-13-21,86.7,,
7-14-21,86.6,,
7-15-21,87.6,,
7-16-21,,,
7-17-21,,,
7-18-21,,,
7-19-21,87,,
7-20-21,88.1,,
7-21-21,87.9,,
7-22-21,87.3,,
7-23-21,86.5,,
7-24-21,88.2,,
7-25-21,,,
7-26-21,87.5,,
7-27-21,87.3,,
7-28-21,87,32,
7-29-21,86.9,,
7-30-21,87.5,32,
7-31-21,87.5,,
8-1-21,,,
8-2-21,87.4,32,
8-3-21,86,,
8-4-21,88.2,34,
8-5-21,86.7,,
8-6-21,87.1,24,
8-7-21,87.8,,
8-8-21,87.9,,
8-9-21,87.3,,
8-10-21,87.2,,
8-11-21,87,32,
8-12-21,86.7,,
8-13-21,86.8,30,
8-14-21,86.4,,
8-15-21,86.9,,
8-16-21,87.5,,
8-17-21,87.3,,
8-18-21,87.5,38,
8-19-21,87.7,,
8-20-21,86.4,30,
8-21-21,87,,
8-22-21,,,
8-23-21,87.2,,
8-24-21,87.5,,
8-25-21,87.1,44,
8-26-21,86.4,,
8-27-21,86.8,42,
8-28-21,86.7,,
8-29-21,88.1,,
8-30-21,88.5,52,
8-31-21,87.5,,
9-1-21,87.3,26,
9-2-21,87,,
9-3-21,87.6,34,
9-4-21,88.4,,
9-5-21,,,
9-6-21,87.4,50,
9-7-21,86.4,,
9-8-21,86.7,52,
9-9-21,85.7,,
9-10-21,86.5,,
9-11-21,,,
9-12-21,87.7,,
9-13-21,87.5,46,
9-14-21,86.1,,
9-15-21,86.1,44,
9-16-21,86.3,,
9-17-21,86.2,52,
9-18-21,86.1,,
9-19-21,87.6,,
9-20-21,88.3,40,
9-21-21,87.4,,
9-22-21,88.2,,
9-23-21,87.9,,
9-24-21,87,,
9-25-21,86.7,,
9-26-21,86,,
9-27-21,86,,
9-28-21,85,,
9-29-21,86.1,,
9-30-21,86,,
10-1-21,87.1,,
10-2-21,86.1,,
10-3-21,86.3,,
10-4-21,86,,
10-5-21,85.6,,
10-6-21,85.3,,
10-7-21,86,,
10-8-21,85.3,,
10-9-21,,,
10-10-21,,,
10-11-21,,,
10-12-21,87.1,,
10-13-21,86.3,,
10-14-21,86.3,,
10-15-21,86.7,,
10-16-21,87.6,,
10-17-21,87.6,,
10-18-21,87.4,,
10-19-21,86.5,,
10-20-21,85.9,,
10-21-21,85.7,,
10-22-21,86.9,,
10-23-21,86.8,,
10-24-21,86.6,,
10-25-21,86.4,,
10-26-21,87,,
10-27-21,87.3,,
10-28-21,87.6,,
10-29-21,86.8,,
10-30-21,86.8,,
10-31-21,87.8,,
11-1-21,87,,
11-2-21,86.3,,
11-3-21,87.3,,
11-4-21,86.3,,
11-5-21,86.4,,
11-6-21,86.5,,
11-7-21,87.3,,
11-8-21,86.6,36,
11-9-21,85.2,,
11-10-21,85.4,38,
11-11-21,85.9,,
11-12-21,86.4,40,
11-13-21,86.6,,
11-14-21,87.7,,
11-15-21,87.1,,
11-16-21,87.2,,
11-17-21,87.1,40,
11-18-21,86.1,,
11-19-21,86.1,30,
11-20-21,87.9,,
11-21-21,,,
11-22-21,86.9,,
11-23-21,87,,
11-24-21,86.7,44,
11-25-21,85.7,,
11-26-21,86.5,42,
11-27-21,86.9,,
11-28-21,87.9,,
11-29-21,88,,
11-30-21,87.4,,
12-1-21,87.5,,
12-2-21,86.6,,
12-3-21,86.7,,
12-4-21,,,
12-5-21,87.6,,
12-6-21,87.3,44,
12-7-21,86.5,,
12-8-21,86.9,,
12-9-21,87.9,,
12-10-21,87.2,44,
12-11-21,86.2,,
12-12-21,,,
12-13-21,86.5,40,
12-14-21,85.6,,
12-15-21,86.5,52,
